,0,1,2
0,11.0,1.0,4.0
1,5.0,1.0,5.0
2,5.0,1.0,3.0
3,10.0,3.0,4.0
4,14.0,1.0,3.0
5,11.0,3.0,1.0
6,11.0,3.0,6.0
7,10.0,1.0,1.0
8,10.0,3.0,3.0
9,14.0,3.0,4.0
10,12.0,3.0,5.0
11,10.0,3.0,2.0
12,10.0,3.0,3.0
13,1.0,3.0,3.0
14,5.0,1.0,1.0
15,11.0,3.0,7.0
16,9.0,3.0,6.0
17,10.0,1.0,2.0
18,8.0,2.0,5.0
19,6.0,3.0,3.0
20,9.0,1.0,3.0
21,5.0,1.0,4.0
22,10.0,3.0,5.0
23,11.0,1.0,1.0
24,10.0,1.0,6.0
25,10.0,3.0,4.0
26,8.0,3.0,4.0
27,12.0,3.0,1.0
28,3.0,1.0,3.0
29,5.0,3.0,6.0
30,10.0,1.0,4.0
31,10.0,3.0,1.0
32,10.0,2.0,1.0
33,2.0,1.0,3.0
34,4.0,1.0,1.0
35,6.0,3.0,1.0
36,11.0,3.0,2.0
37,13.0,3.0,1.0
38,11.0,1.0,3.0
39,12.0,3.0,4.0
40,12.0,1.0,5.0
41,5.0,1.0,4.0
42,8.0,3.0,7.0
43,9.0,1.0,4.0
44,12.0,3.0,1.0
45,11.0,3.0,2.0
46,14.0,3.0,5.0
47,11.0,3.0,7.0
48,11.0,3.0,3.0
49,11.0,3.0,2.0
50,7.0,1.0,6.0
51,5.0,1.0,6.0
52,14.0,3.0,5.0
53,4.0,3.0,7.0
54,5.0,3.0,1.0
55,10.0,1.0,5.0
56,5.0,3.0,4.0
57,2.0,1.0,4.0
58,11.0,2.0,5.0
59,3.0,3.0,7.0
60,5.0,3.0,4.0
61,10.0,3.0,4.0
62,10.0,3.0,1.0
63,6.0,3.0,1.0
64,10.0,2.0,1.0
65,5.0,3.0,3.0
66,4.0,3.0,2.0
67,10.0,3.0,4.0
68,10.0,3.0,3.0
69,5.0,3.0,3.0
70,5.0,3.0,5.0
71,2.0,1.0,7.0
72,3.0,3.0,5.0
73,3.0,2.0,7.0
74,10.0,3.0,7.0
75,1.0,3.0,6.0
76,7.0,3.0,6.0
77,3.0,1.0,3.0
78,1.0,2.0,3.0
79,12.0,3.0,5.0
